,Departure,Arrival,WeeksToDeparture,log_PAX,std_wtd,temperature_depart,temperature_arrival,wage_median_depart,beach_depart,passenger_per_year_depart,population_depart,score_depart,wage_median_arrival,beach_arrival,passenger_per_year_arrival,population_arrival,score_arrival,Open,prix,is_holiday,year,month,day,weekday,week,n_days,weekend,ete,beach_ete_dep,beach_ete_arr,precipitations_depart,precipitations_arrival,diff_temp,distance
41,LGA,ATL,14.0357142857,11.4386386479,9.191308869260002,9.0,14.0,76578.33333333331,1,30187.395,8346693,1030575,61467.66666666666,0,105911.923,449016,2002475,5.7,3.8280000000000003,0,2011,12,23,4,51,15331,0,0,0,0,1,0,-5.0,1224.09852533067
42,LAS,SFO,14.2413793103,11.1362585598,8.870718977200001,37.0,25.0,55440.66666666666,0,46505.605,593275,1068475,82083.0,1,49668.40966666667,828876,1112475,6.28,3.786,0,2011,9,29,3,39,15246,0,0,0,0,0,0,12.0,664.4740712604886
43,DTW,ATL,14.0476190476,10.686497170800001,11.4301189428,19.0,27.0,44130.0,0,36522.355,700183,1079375,61467.66666666666,0,105911.923,449016,2002475,10.53,4.135,0,2012,9,19,2,38,15602,0,0,0,0,0,0,-8.0,957.5959918671941
44,EWR,MCO,16.92,10.881780561500001,14.674013311500001,2.0,28.0,70432.66666666669,1,40186.30133333334,277594,1064475,51069.33333333334,1,39794.08733333334,249935,1044075,13.62,4.157,0,2013,2,21,3,8,15757,0,0,0,0,0,0,-26.0,1509.933223961638
45,EWR,SFO,6.25,10.092588683099999,5.08339542933,2.0,14.0,70432.66666666669,1,40186.30133333334,277594,1064475,82083.0,1,49668.40966666667,828876,1112475,13.62,4.157,0,2013,2,21,3,8,15757,0,0,0,0,0,0,-12.0,4115.814860842733
46,JFK,LAX,18.0,12.2361631218,12.211106055999998,11.0,18.0,76578.33333333331,1,57445.57766666666,8346693,1052075,59541.33333333334,1,73928.40566666667,3851202,1335475,11.8,4.03,0,2012,10,31,2,44,15644,0,1,1,1,1,1,-7.0,3971.701539264229
47,ATL,LAX,12.3181818182,11.3852913697,10.0161125604,29.0,21.0,61467.66666666666,0,105911.923,449016,2002475,59541.33333333334,1,73928.40566666667,3851202,1335475,12.39,3.781,0,2012,6,17,6,24,15508,0,1,0,1,0,0,8.0,3123.8140155579513
48,IAH,ORD,9.176470588239999,11.4345887532,6.82124708281,31.0,21.0,57644.0,1,44427.35133333333,2161593,1055675,58419.66666666666,1,75120.345,2719141,1503175,5.77,3.833,0,2011,9,19,0,38,15236,1,0,0,0,1,1,10.0,1489.7159845062022
49,LAS,JFK,13.461538461500002,11.013356672999999,9.356199096769998,37.0,14.0,55440.66666666666,0,46505.605,593275,1068475,76578.33333333331,1,57445.57766666666,8346693,1052075,9.15,4.085,0,2012,4,23,0,17,15453,1,0,0,0,0,1,23.0,3607.016466628042
50,MSP,ORD,10.3888888889,12.47825863,9.15319866231,4.0,3.0,69940.0,0,37523.137,392768,1085275,58419.66666666666,1,75120.345,2719141,1503175,7.78,3.8480000000000003,0,2012,1,26,3,4,15365,0,0,0,0,0,0,1.0,536.658170112283
51,DFW,LAS,10.285714285700001,10.3269941571,6.6644043780599995,34.0,41.0,53078.66666666666,0,66233.791,1242115,1203175,55440.66666666666,0,46505.605,593275,1068475,12.5,3.7289999999999996,0,2012,6,19,1,25,15510,1,1,0,0,0,0,-7.0,1693.7358514452706
52,DFW,DEN,8.352941176469999,11.458757243800001,5.689257162300001,34.0,36.0,53078.66666666666,0,66233.791,1242115,1203175,55482.66666666666,0,59852.55,635163,1103275,12.5,3.7289999999999996,0,2012,6,19,1,25,15510,1,1,0,0,0,0,-2.0,1031.450008384916
53,ORD,SFO,12.041666666700001,10.8095071816,8.232909394710001,16.0,12.0,58419.66666666666,1,75120.345,2719141,1503175,82083.0,1,49668.40966666667,828876,1112475,7.4,4.1419999999999995,0,2012,3,24,5,12,15423,0,0,0,0,1,1,4.0,2962.1022796065768
54,SEA,DEN,10.1111111111,10.4819113497,8.449774719510001,5.0,3.0,78112.66666666669,1,39551.456,635928,1038675,55482.66666666666,0,59852.55,635163,1103275,5.25,3.931,0,2011,12,7,2,49,15315,0,0,0,0,1,0,2.0,1644.0329849284549
55,SEA,ORD,9.944444444439998,10.7224785265,8.557571276000001,5.0,1.0,78112.66666666669,1,39551.456,635928,1038675,58419.66666666666,1,75120.345,2719141,1503175,5.25,3.931,0,2011,12,7,2,49,15315,0,0,0,0,1,0,4.0,2760.0176726156906
56,ORD,IAH,13.15,9.95437911171,11.895487866400002,0.0,21.0,58419.66666666666,1,75120.345,2719141,1503175,57644.0,1,44427.35133333333,2161593,1055675,13.25,3.945,0,2012,12,22,5,51,15696,0,0,0,0,0,0,-21.0,1489.7159845062022
57,DEN,LAS,7.285714285710001,10.7224785265,6.0944940022,23.0,23.0,55482.66666666666,0,59852.55,635163,1103275,55440.66666666666,0,46505.605,593275,1068475,6.92,4.093999999999999,0,2012,3,6,1,10,15405,1,0,0,0,0,0,0.0,1008.7308944102843
58,PHL,BOS,7.3571428571399995,11.719757853499999,6.307591797640001,14.0,6.0,39645.333333333336,0,34276.636,1551824,1031075,57755.0,1,33827.65333333333,642955,1035875,7.07,4.123,0,2012,3,15,3,11,15414,0,0,0,0,0,1,8.0,449.8593565253816
59,DFW,LGA,8.29411764706,11.3346554333,5.542615649249999,26.0,14.0,53078.66666666666,0,66233.791,1242115,1203175,76578.33333333331,1,30187.395,8346693,1030575,7.9,3.96,0,2012,2,22,2,8,15392,0,0,0,0,0,0,12.0,2229.9586529402495
60,ORD,IAH,9.833333333330001,10.522019901,8.59719516505,25.0,31.0,58419.66666666666,1,75120.345,2719141,1503175,57644.0,1,44427.35133333333,2161593,1055675,11.17,4.132,0,2012,9,16,6,37,15599,0,0,0,0,0,1,-6.0,1489.7159845062022
61,DEN,ORD,12.55,10.289915882999999,11.0285514628,31.0,26.0,55482.66666666666,0,59852.55,635163,1103275,58419.66666666666,1,75120.345,2719141,1503175,11.17,4.132,0,2012,9,15,5,37,15598,0,0,0,0,0,0,5.0,1425.1266950703268
62,BOS,SFO,11.304347826099999,10.4270551669,7.338781064310001,16.0,26.0,57755.0,1,33827.65333333333,642955,1035875,82083.0,1,49668.40966666667,828876,1112475,12.23,4.1160000000000005,0,2012,10,27,5,43,15640,0,1,1,1,0,0,-10.0,4338.516005645934
63,MSP,ATL,10.4,8.91294944631,7.49315477093,-2.0,17.0,69940.0,0,37523.137,392768,1085275,61467.66666666666,0,105911.923,449016,2002475,15.07,4.022,0,2013,2,9,5,6,15745,0,0,0,0,0,0,-19.0,1458.8016504046498
64,SFO,DFW,7.15384615385,10.8432124801,6.12163041798,12.0,23.0,82083.0,1,49668.40966666667,828876,1112475,53078.66666666666,0,66233.791,1242115,1203175,7.03,4.051,0,2012,2,28,1,9,15398,1,0,0,0,1,0,-11.0,2350.4643784146856
65,LAX,DFW,15.4642857143,11.9207704465,10.709919745399999,19.0,22.0,59541.33333333334,1,73928.40566666667,3851202,1335475,53078.66666666666,0,66233.791,1242115,1203175,5.8,3.801,0,2011,10,20,3,42,15267,0,1,1,0,1,0,-3.0,1981.929340139748
66,DTW,ORD,8.84210526316,10.5677483926,6.970279429239999,21.0,18.0,44130.0,0,36522.355,700183,1079375,58419.66666666666,1,75120.345,2719141,1503175,5.91,3.862,0,2011,9,18,6,37,15235,0,0,0,0,0,1,3.0,376.1523186864933
67,LAS,LAX,14.5333333333,11.0082680593,10.3515227377,17.0,14.0,55440.66666666666,0,46505.605,593275,1068475,59541.33333333334,1,73928.40566666667,3851202,1335475,4.33,4.01,0,2011,11,21,0,47,15299,1,0,0,0,0,1,3.0,379.7556938118438
68,LAS,LAX,15.78125,12.0851260014,9.82010569222,32.0,27.0,55440.66666666666,0,46505.605,593275,1068475,59541.33333333334,1,73928.40566666667,3851202,1335475,6.48,3.721,0,2011,10,14,4,41,15261,0,1,0,1,0,1,5.0,379.7556938118438
69,ATL,DEN,9.7,10.6985682534,7.41335920733,13.0,11.0,61467.66666666666,0,105911.923,449016,2002475,55482.66666666666,0,59852.55,635163,1103275,15.07,4.022,0,2013,2,8,4,6,15744,0,0,0,0,1,0,2.0,1925.4082125567688
70,LAX,BOS,13.481481481500001,11.3935986251,8.77220422423,23.0,31.0,59541.33333333334,1,73928.40566666667,3851202,1335475,57755.0,1,33827.65333333333,642955,1035875,11.65,4.026,0,2012,8,23,3,34,15575,0,0,0,0,1,0,-8.0,4190.396510798694
71,JFK,SFO,18.078947368399998,11.7542315847,11.9602530457,30.0,20.0,76578.33333333331,1,57445.57766666666,8346693,1052075,82083.0,1,49668.40966666667,828876,1112475,13.31,3.648,0,2012,7,6,4,27,15527,0,0,0,0,0,0,10.0,4149.17959706262
72,JFK,LAX,18.421052631600002,13.5196103266,12.4935260618,17.0,27.0,76578.33333333331,1,57445.57766666666,8346693,1052075,59541.33333333334,1,73928.40566666667,3851202,1335475,12.23,4.1160000000000005,0,2012,10,25,3,43,15638,0,1,1,1,0,0,-10.0,3971.701539264229
73,JFK,MCO,17.411764705899998,10.370536424900001,12.6828866972,17.0,28.0,76578.33333333331,1,57445.57766666666,8346693,1052075,51069.33333333334,1,39794.08733333334,249935,1044075,12.23,4.1160000000000005,0,2012,10,25,3,43,15638,0,1,1,1,0,1,-11.0,1520.4334212880337
74,JFK,MIA,15.2142857143,10.1418860666,11.496721409800001,17.0,28.0,76578.33333333331,1,57445.57766666666,8346693,1052075,52492.33333333334,1,44521.62966666668,411149,1073075,12.23,4.1160000000000005,0,2012,10,25,3,43,15638,0,1,1,1,0,1,-11.0,1756.0183179672956
75,MIA,LGA,11.56,10.8653489507,8.08846915883,27.0,9.0,52492.33333333334,1,44521.62966666668,411149,1073075,76578.33333333331,1,30187.395,8346693,1030575,5.8,3.825,0,2011,10,30,6,43,15277,0,1,1,1,1,1,18.0,1767.267073831831
76,LAX,BOS,13.347826087,10.4683478299,11.2839737345,17.0,6.0,59541.33333333334,1,73928.40566666667,3851202,1335475,57755.0,1,33827.65333333333,642955,1035875,12.98,4.034,0,2012,11,29,3,48,15673,0,0,0,0,1,0,11.0,4190.396510798694
77,LAX,IAH,13.1923076923,10.624941228099999,10.537624896599999,17.0,22.0,59541.33333333334,1,73928.40566666667,3851202,1335475,57644.0,1,44427.35133333333,2161593,1055675,12.98,4.034,0,2012,11,29,3,48,15673,0,0,0,0,1,1,-5.0,2213.6827502873593
78,DTW,ATL,12.5238095238,11.058539991400002,10.7266912308,26.0,31.0,44130.0,0,36522.355,700183,1079375,61467.66666666666,0,105911.923,449016,2002475,9.94,3.965,0,2012,8,17,4,33,15569,0,0,0,0,1,0,-5.0,957.5959918671941
79,DTW,LGA,9.052631578949999,11.078275368699998,6.76160470936,-6.0,-4.0,44130.0,0,36522.355,700183,1079375,76578.33333333331,1,30187.395,8346693,1030575,15.04,3.9019999999999997,0,2013,1,24,3,4,15729,0,0,0,0,1,0,-2.0,804.629309947993
80,DFW,BOS,6.307692307690001,10.2367357817,4.44193305114,16.0,9.0,53078.66666666666,0,66233.791,1242115,1203175,57755.0,1,33827.65333333333,642955,1035875,12.95,3.991,0,2012,12,14,4,50,15688,0,0,0,0,1,0,7.0,2507.6934737710767
81,DFW,ORD,12.5714285714,12.1772078297,11.1380942202,16.0,10.0,53078.66666666666,0,66233.791,1242115,1203175,58419.66666666666,1,75120.345,2719141,1503175,12.95,3.991,0,2012,12,14,4,50,15688,0,0,0,0,1,0,6.0,1289.8349798594422
82,ORD,LGA,11.25,13.6904803322,8.033895584389999,7.0,2.0,58419.66666666666,1,75120.345,2719141,1503175,76578.33333333331,1,30187.395,8346693,1030575,12.71,4.034,0,2012,11,28,2,48,15672,0,0,0,0,0,1,5.0,1176.3160984153205
83,ORD,PHX,7.2,10.662118055599999,4.8579831206,7.0,27.0,58419.66666666666,1,75120.345,2719141,1503175,57474.66666666666,0,45664.73333333333,1499274,1060875,12.71,4.034,0,2012,11,28,2,48,15672,0,0,0,0,0,0,-20.0,2311.9734166353205
84,ORD,MSP,7.0,12.2933116971,4.472135955,7.0,2.0,58419.66666666666,1,75120.345,2719141,1503175,69940.0,0,37523.137,392768,1085275,12.71,4.034,0,2012,11,28,2,48,15672,0,0,0,0,0,0,5.0,536.658170112283
85,CLT,LGA,8.76470588235,11.7092902353,6.4374821530299995,27.0,17.0,60171.33333333334,0,47719.872,773264,1028075,76578.33333333331,1,30187.395,8346693,1030575,11.83,4.079,0,2012,10,4,3,40,15617,0,1,0,1,1,1,10.0,874.3785268557217
86,ORD,SEA,10.210526315800001,10.4546849427,7.8001349516,3.0,6.0,58419.66666666666,1,75120.345,2719141,1503175,78112.66666666669,1,39551.456,635928,1038675,5.9,3.8280000000000003,0,2012,1,12,3,2,15351,0,0,0,0,1,0,-3.0,2760.0176726156906
87,SEA,DEN,12.48,9.674348761360001,8.31725114847,11.0,5.0,78112.66666666669,1,39551.456,635928,1038675,55482.66666666666,0,59852.55,635163,1103275,3.99,4.01,0,2011,11,26,5,47,15304,0,0,0,0,1,0,6.0,1644.0329849284549
88,ATL,EWR,11.4736842105,9.88123343258,10.4369451738,31.0,31.0,61467.66666666666,0,105911.923,449016,2002475,70432.66666666669,1,40186.30133333334,277594,1064475,11.39,4.127,0,2012,9,8,5,36,15591,0,0,0,0,1,1,0.0,1198.5633692411043
89,ATL,SFO,11.083333333299999,10.0674425616,7.939535999289999,31.0,18.0,61467.66666666666,0,105911.923,449016,2002475,82083.0,1,49668.40966666667,828876,1112475,11.39,4.127,0,2012,9,8,5,36,15591,0,0,0,0,1,0,13.0,3432.561565289114
90,ATL,DFW,12.5238095238,10.0419527467,9.56879850148,31.0,31.0,61467.66666666666,0,105911.923,449016,2002475,53078.66666666666,0,66233.791,1242115,1203175,11.39,4.127,0,2012,9,8,5,36,15591,0,0,0,0,1,1,0.0,1173.794399762142
91,ORD,MSP,9.35,12.1414739659,7.08798093142,8.0,9.0,58419.66666666666,1,75120.345,2719141,1503175,69940.0,0,37523.137,392768,1085275,5.56,3.8280000000000003,0,2012,1,9,0,2,15348,1,0,0,0,0,0,-1.0,536.658170112283
92,ORD,LAS,15.2413793103,12.270143998499998,10.5073279613,8.0,14.0,58419.66666666666,1,75120.345,2719141,1503175,55440.66666666666,0,46505.605,593275,1068475,5.56,3.8280000000000003,0,2012,1,9,0,2,15348,1,0,0,0,0,0,-6.0,2430.1661221101435
93,SFO,DEN,10.2380952381,11.4667443042,6.647591758709999,19.0,31.0,82083.0,1,49668.40966666667,828876,1112475,55482.66666666666,0,59852.55,635163,1103275,10.23,4.004,0,2012,5,18,4,20,15478,0,1,1,0,0,1,-12.0,1551.7999287765956
94,DFW,BOS,11.409090909100001,11.458757243800001,7.950196708610001,40.0,23.0,53078.66666666666,0,66233.791,1242115,1203175,57755.0,1,33827.65333333333,642955,1035875,13.0,3.678,0,2012,6,25,0,26,15516,1,1,0,1,0,1,17.0,2507.6934737710767
95,ORD,LAX,13.208333333299999,11.933224420999998,9.97814641089,0.0,31.0,58419.66666666666,1,75120.345,2719141,1503175,59541.33333333334,1,73928.40566666667,3851202,1335475,7.45,4.051,0,2012,3,4,6,9,15403,0,0,0,0,1,0,-31.0,2800.356708816837
96,ATL,DFW,10.8125,9.73583704789,11.990100083,17.0,15.0,61467.66666666666,0,105911.923,449016,2002475,53078.66666666666,0,66233.791,1242115,1203175,15.07,4.022,0,2013,2,9,5,6,15745,0,0,0,0,0,1,2.0,1173.794399762142
97,BOS,EWR,8.94117647059,11.269363733099999,7.266967973610001,12.0,15.0,57755.0,1,33827.65333333333,642955,1035875,70432.66666666669,1,40186.30133333334,277594,1064475,5.77,3.8939999999999997,0,2011,12,16,4,50,15324,0,0,0,0,0,0,-3.0,322.1038212597294
98,MIA,LGA,15.2,10.704574621699999,10.0013792152,24.0,3.0,52492.33333333334,1,44521.62966666668,411149,1073075,76578.33333333331,1,30187.395,8346693,1030575,5.22,3.7910000000000004,0,2011,12,29,3,52,15337,0,0,0,0,0,0,21.0,1767.267073831831
99,SFO,BOS,10.5263157895,11.1314948899,8.335789111830001,17.0,31.0,82083.0,1,49668.40966666667,828876,1112475,57755.0,1,33827.65333333333,642955,1035875,7.86,4.127,0,2012,4,16,0,16,15446,1,0,0,0,0,0,-14.0,4338.516005645934
