,Date,AirPort,Max TemperatureC,Min TemperatureC,city,population,latitude_deg,longitude_deg,local_code,scheduled_service,score,Dernier,is_holiday
26,2011-09-02,SFO,23,13,"San Francisco city, California",828876,37.61899948120117,-122.375,SFO,1,1112475,3.038,0
27,2011-09-02,CLT,36,20,"Charlotte city, North Carolina",773264,35.2140007019043,-80.94309997558594,CLT,1,1028075,3.038,0
28,2011-09-02,LAS,40,24,"Las Vegas city, Nevada",593275,36.08010101,-115.1520004,LAS,1,1068475,3.038,0
29,2011-09-02,PHX,39,31,"Phoenix city, Arizona",1499274,33.43429946899414,-112.01200103759766,PHX,1,1060875,3.038,0
30,2011-09-02,IAH,38,26,"Houston city, Texas",2161593,29.984399795532227,-95.34140014648438,IAH,1,1055675,3.038,0
31,2011-09-02,MIA,31,24,"Miami city, Florida",411149,25.79319953918457,-80.29060363769531,MIA,1,1073075,3.038,0
32,2011-09-02,MCO,32,22,"Orlando city, Florida",249935,28.429399490356445,-81.30899810791016,MCO,1,1044075,3.038,0
33,2011-09-02,EWR,26,19,"Newark city, New Jersey",277594,40.692501068115234,-74.168701171875,EWR,1,1064475,3.038,0
34,2011-09-02,SEA,22,13,"Seattle city, Washington",635928,47.449001,-122.308998,SEA,1,1038675,3.038,0
35,2011-09-02,MSP,28,22,"Minneapolis city, Minnesota",392768,44.882,-93.221802,MSP,1,1085275,3.038,0
36,2011-09-02,DTW,37,23,"Detroit city, Michigan",700183,42.212398529052734,-83.35340118408203,DTW,1,1079375,3.038,0
37,2011-09-02,PHL,25,18,"Philadelphia city, Pennsylvania",1551824,39.87189865112305,-75.24109649658203,PHL,1,1031075,3.038,0
38,2011-09-02,BOS,20,16,"Boston city, Massachusetts",642955,42.36429977,-71.00520325,BOS,1,1035875,3.038,0
39,2011-09-02,LGA,25,19,"New York city, New York",8346693,40.777199,-73.872597,LGA,1,1030575,3.038,0
40,2011-09-03,ATL,35,23,"Atlanta city, Georgia",449016,33.6367,-84.428101,ATL,1,2002475,,0
41,2011-09-03,ORD,32,21,"Chicago city, Illinois",2719141,41.9786,-87.9048,ORD,1,1503175,,0
42,2011-09-03,LAX,19,15,"Los Angeles city, California",3851202,33.942501,-118.407997,LAX,1,1335475,,0
43,2011-09-03,DFW,38,26,"Dallas city, Texas",1242115,32.896801,-97.038002,DFW,1,1203175,,0
44,2011-09-03,DEN,22,9,"Denver city, Colorado",635163,39.861698150635,-104.672996521,DEN,1,1103275,,0
45,2011-09-03,JFK,26,18,"New York city, New York",8346693,40.639801,-73.7789,JFK,1,1052075,,0
46,2011-09-03,SFO,19,12,"San Francisco city, California",828876,37.61899948120117,-122.375,SFO,1,1112475,,0
47,2011-09-03,CLT,32,19,"Charlotte city, North Carolina",773264,35.2140007019043,-80.94309997558594,CLT,1,1028075,,0
48,2011-09-03,LAS,39,25,"Las Vegas city, Nevada",593275,36.08010101,-115.1520004,LAS,1,1068475,,0
49,2011-09-03,PHX,43,29,"Phoenix city, Arizona",1499274,33.43429946899414,-112.01200103759766,PHX,1,1060875,,0
50,2011-09-03,IAH,36,24,"Houston city, Texas",2161593,29.984399795532227,-95.34140014648438,IAH,1,1055675,,0
51,2011-09-03,MIA,32,23,"Miami city, Florida",411149,25.79319953918457,-80.29060363769531,MIA,1,1073075,,0
52,2011-09-03,MCO,32,21,"Orlando city, Florida",249935,28.429399490356445,-81.30899810791016,MCO,1,1044075,,0
53,2011-09-03,EWR,29,18,"Newark city, New Jersey",277594,40.692501068115234,-74.168701171875,EWR,1,1064475,,0
54,2011-09-03,SEA,28,12,"Seattle city, Washington",635928,47.449001,-122.308998,SEA,1,1038675,,0
55,2011-09-03,MSP,27,16,"Minneapolis city, Minnesota",392768,44.882,-93.221802,MSP,1,1085275,,0
56,2011-09-03,DTW,35,22,"Detroit city, Michigan",700183,42.212398529052734,-83.35340118408203,DTW,1,1079375,,0
57,2011-09-03,PHL,28,19,"Philadelphia city, Pennsylvania",1551824,39.87189865112305,-75.24109649658203,PHL,1,1031075,,0
58,2011-09-03,BOS,30,16,"Boston city, Massachusetts",642955,42.36429977,-71.00520325,BOS,1,1035875,,0
59,2011-09-03,LGA,29,19,"New York city, New York",8346693,40.777199,-73.872597,LGA,1,1030575,,0
60,2011-09-04,ATL,27,22,"Atlanta city, Georgia",449016,33.6367,-84.428101,ATL,1,2002475,,0
61,2011-09-04,ORD,23,14,"Chicago city, Illinois",2719141,41.9786,-87.9048,ORD,1,1503175,,0
62,2011-09-04,LAX,21,16,"Los Angeles city, California",3851202,33.942501,-118.407997,LAX,1,1335475,,0
63,2011-09-04,DFW,36,24,"Dallas city, Texas",1242115,32.896801,-97.038002,DFW,1,1203175,,0
64,2011-09-04,DEN,26,5,"Denver city, Colorado",635163,39.861698150635,-104.672996521,DEN,1,1103275,,0
65,2011-09-04,JFK,27,21,"New York city, New York",8346693,40.639801,-73.7789,JFK,1,1052075,,0
66,2011-09-04,SFO,19,13,"San Francisco city, California",828876,37.61899948120117,-122.375,SFO,1,1112475,,0
67,2011-09-04,CLT,32,21,"Charlotte city, North Carolina",773264,35.2140007019043,-80.94309997558594,CLT,1,1028075,,0
68,2011-09-04,LAS,41,26,"Las Vegas city, Nevada",593275,36.08010101,-115.1520004,LAS,1,1068475,,0
69,2011-09-04,PHX,43,29,"Phoenix city, Arizona",1499274,33.43429946899414,-112.01200103759766,PHX,1,1060875,,0
70,2011-09-04,IAH,32,24,"Houston city, Texas",2161593,29.984399795532227,-95.34140014648438,IAH,1,1055675,,0
71,2011-09-04,MIA,32,24,"Miami city, Florida",411149,25.79319953918457,-80.29060363769531,MIA,1,1073075,,0
72,2011-09-04,MCO,31,23,"Orlando city, Florida",249935,28.429399490356445,-81.30899810791016,MCO,1,1044075,,0
73,2011-09-04,EWR,31,22,"Newark city, New Jersey",277594,40.692501068115234,-74.168701171875,EWR,1,1064475,,0
74,2011-09-04,SEA,28,11,"Seattle city, Washington",635928,47.449001,-122.308998,SEA,1,1038675,,0
75,2011-09-04,MSP,22,12,"Minneapolis city, Minnesota",392768,44.882,-93.221802,MSP,1,1085275,,0
76,2011-09-04,DTW,26,17,"Detroit city, Michigan",700183,42.212398529052734,-83.35340118408203,DTW,1,1079375,,0
77,2011-09-04,PHL,31,21,"Philadelphia city, Pennsylvania",1551824,39.87189865112305,-75.24109649658203,PHL,1,1031075,,0
78,2011-09-04,BOS,29,20,"Boston city, Massachusetts",642955,42.36429977,-71.00520325,BOS,1,1035875,,0
79,2011-09-04,LGA,30,23,"New York city, New York",8346693,40.777199,-73.872597,LGA,1,1030575,,0
80,2011-09-05,ATL,26,22,"Atlanta city, Georgia",449016,33.6367,-84.428101,ATL,1,2002475,,1
81,2011-09-05,ORD,18,11,"Chicago city, Illinois",2719141,41.9786,-87.9048,ORD,1,1503175,,1
82,2011-09-05,LAX,27,17,"Los Angeles city, California",3851202,33.942501,-118.407997,LAX,1,1335475,,1
83,2011-09-05,DFW,29,19,"Dallas city, Texas",1242115,32.896801,-97.038002,DFW,1,1203175,,1
84,2011-09-05,DEN,32,10,"Denver city, Colorado",635163,39.861698150635,-104.672996521,DEN,1,1103275,,1
85,2011-09-05,JFK,26,22,"New York city, New York",8346693,40.639801,-73.7789,JFK,1,1052075,,1
86,2011-09-05,SFO,18,12,"San Francisco city, California",828876,37.61899948120117,-122.375,SFO,1,1112475,,1
87,2011-09-05,CLT,28,22,"Charlotte city, North Carolina",773264,35.2140007019043,-80.94309997558594,CLT,1,1028075,,1
88,2011-09-05,LAS,33,25,"Las Vegas city, Nevada",593275,36.08010101,-115.1520004,LAS,1,1068475,,1
89,2011-09-05,PHX,41,33,"Phoenix city, Arizona",1499274,33.43429946899414,-112.01200103759766,PHX,1,1060875,,1
90,2011-09-05,IAH,35,23,"Houston city, Texas",2161593,29.984399795532227,-95.34140014648438,IAH,1,1055675,,1
91,2011-09-05,MIA,33,26,"Miami city, Florida",411149,25.79319953918457,-80.29060363769531,MIA,1,1073075,,1
92,2011-09-05,MCO,33,23,"Orlando city, Florida",249935,28.429399490356445,-81.30899810791016,MCO,1,1044075,,1
93,2011-09-05,EWR,29,22,"Newark city, New Jersey",277594,40.692501068115234,-74.168701171875,EWR,1,1064475,,1
94,2011-09-05,SEA,28,12,"Seattle city, Washington",635928,47.449001,-122.308998,SEA,1,1038675,,1
95,2011-09-05,MSP,22,9,"Minneapolis city, Minnesota",392768,44.882,-93.221802,MSP,1,1085275,,1
96,2011-09-05,DTW,18,12,"Detroit city, Michigan",700183,42.212398529052734,-83.35340118408203,DTW,1,1079375,,1
97,2011-09-05,PHL,29,19,"Philadelphia city, Pennsylvania",1551824,39.87189865112305,-75.24109649658203,PHL,1,1031075,,1
98,2011-09-05,BOS,31,21,"Boston city, Massachusetts",642955,42.36429977,-71.00520325,BOS,1,1035875,,1
99,2011-09-05,LGA,27,22,"New York city, New York",8346693,40.777199,-73.872597,LGA,1,1030575,,1
100,2011-09-06,ATL,24,14,"Atlanta city, Georgia",449016,33.6367,-84.428101,ATL,1,2002475,3.043,0
101,2011-09-06,ORD,19,11,"Chicago city, Illinois",2719141,41.9786,-87.9048,ORD,1,1503175,3.043,0
102,2011-09-06,LAX,29,18,"Los Angeles city, California",3851202,33.942501,-118.407997,LAX,1,1335475,3.043,0
103,2011-09-06,DFW,31,14,"Dallas city, Texas",1242115,32.896801,-97.038002,DFW,1,1203175,3.043,0
104,2011-09-06,DEN,24,14,"Denver city, Colorado",635163,39.861698150635,-104.672996521,DEN,1,1103275,3.043,0
105,2011-09-06,JFK,23,17,"New York city, New York",8346693,40.639801,-73.7789,JFK,1,1052075,3.043,0
106,2011-09-06,SFO,23,11,"San Francisco city, California",828876,37.61899948120117,-122.375,SFO,1,1112475,3.043,0
107,2011-09-06,CLT,30,17,"Charlotte city, North Carolina",773264,35.2140007019043,-80.94309997558594,CLT,1,1028075,3.043,0
108,2011-09-06,LAS,36,23,"Las Vegas city, Nevada",593275,36.08010101,-115.1520004,LAS,1,1068475,3.043,0
109,2011-09-06,PHX,42,29,"Phoenix city, Arizona",1499274,33.43429946899414,-112.01200103759766,PHX,1,1060875,3.043,0
110,2011-09-06,IAH,34,16,"Houston city, Texas",2161593,29.984399795532227,-95.34140014648438,IAH,1,1055675,3.043,0
111,2011-09-06,MIA,34,24,"Miami city, Florida",411149,25.79319953918457,-80.29060363769531,MIA,1,1073075,3.043,0
112,2011-09-06,MCO,31,24,"Orlando city, Florida",249935,28.429399490356445,-81.30899810791016,MCO,1,1044075,3.043,0
113,2011-09-06,EWR,22,17,"Newark city, New Jersey",277594,40.692501068115234,-74.168701171875,EWR,1,1064475,3.043,0
114,2011-09-06,SEA,29,12,"Seattle city, Washington",635928,47.449001,-122.308998,SEA,1,1038675,3.043,0
115,2011-09-06,MSP,23,11,"Minneapolis city, Minnesota",392768,44.882,-93.221802,MSP,1,1085275,3.043,0
116,2011-09-06,DTW,19,12,"Detroit city, Michigan",700183,42.212398529052734,-83.35340118408203,DTW,1,1079375,3.043,0
117,2011-09-06,PHL,19,16,"Philadelphia city, Pennsylvania",1551824,39.87189865112305,-75.24109649658203,PHL,1,1031075,3.043,0
118,2011-09-06,BOS,23,16,"Boston city, Massachusetts",642955,42.36429977,-71.00520325,BOS,1,1035875,3.043,0
119,2011-09-06,LGA,23,16,"New York city, New York",8346693,40.777199,-73.872597,LGA,1,1030575,3.043,0
120,2011-09-07,ATL,21,14,"Atlanta city, Georgia",449016,33.6367,-84.428101,ATL,1,2002475,3.05,0
121,2011-09-07,ORD,21,11,"Chicago city, Illinois",2719141,41.9786,-87.9048,ORD,1,1503175,3.05,0
122,2011-09-07,LAX,28,19,"Los Angeles city, California",3851202,33.942501,-118.407997,LAX,1,1335475,3.05,0
123,2011-09-07,DFW,32,16,"Dallas city, Texas",1242115,32.896801,-97.038002,DFW,1,1203175,3.05,0
124,2011-09-07,DEN,16,11,"Denver city, Colorado",635163,39.861698150635,-104.672996521,DEN,1,1103275,3.05,0
125,2011-09-07,JFK,22,17,"New York city, New York",8346693,40.639801,-73.7789,JFK,1,1052075,3.05,0
126,2011-09-07,SFO,30,11,"San Francisco city, California",828876,37.61899948120117,-122.375,SFO,1,1112475,3.05,0
127,2011-09-07,CLT,23,15,"Charlotte city, North Carolina",773264,35.2140007019043,-80.94309997558594,CLT,1,1028075,3.05,0
128,2011-09-07,LAS,39,25,"Las Vegas city, Nevada",593275,36.08010101,-115.1520004,LAS,1,1068475,3.05,0
129,2011-09-07,PHX,42,31,"Phoenix city, Arizona",1499274,33.43429946899414,-112.01200103759766,PHX,1,1060875,3.05,0
130,2011-09-07,IAH,34,15,"Houston city, Texas",2161593,29.984399795532227,-95.34140014648438,IAH,1,1055675,3.05,0
131,2011-09-07,MIA,33,24,"Miami city, Florida",411149,25.79319953918457,-80.29060363769531,MIA,1,1073075,3.05,0
132,2011-09-07,MCO,31,23,"Orlando city, Florida",249935,28.429399490356445,-81.30899810791016,MCO,1,1044075,3.05,0
133,2011-09-07,EWR,22,17,"Newark city, New Jersey",277594,40.692501068115234,-74.168701171875,EWR,1,1064475,3.05,0
134,2011-09-07,SEA,28,12,"Seattle city, Washington",635928,47.449001,-122.308998,SEA,1,1038675,3.05,0
135,2011-09-07,MSP,26,12,"Minneapolis city, Minnesota",392768,44.882,-93.221802,MSP,1,1085275,3.05,0
136,2011-09-07,DTW,17,13,"Detroit city, Michigan",700183,42.212398529052734,-83.35340118408203,DTW,1,1079375,3.05,0
137,2011-09-07,PHL,29,19,"Philadelphia city, Pennsylvania",1551824,39.87189865112305,-75.24109649658203,PHL,1,1031075,3.05,0
138,2011-09-07,BOS,17,16,"Boston city, Massachusetts",642955,42.36429977,-71.00520325,BOS,1,1035875,3.05,0
139,2011-09-07,LGA,21,17,"New York city, New York",8346693,40.777199,-73.872597,LGA,1,1030575,3.05,0
140,2011-09-08,ATL,23,14,"Atlanta city, Georgia",449016,33.6367,-84.428101,ATL,1,2002475,3.018,0
141,2011-09-08,ORD,24,14,"Chicago city, Illinois",2719141,41.9786,-87.9048,ORD,1,1503175,3.018,0
142,2011-09-08,LAX,28,17,"Los Angeles city, California",3851202,33.942501,-118.407997,LAX,1,1335475,3.018,0
143,2011-09-08,DFW,31,19,"Dallas city, Texas",1242115,32.896801,-97.038002,DFW,1,1203175,3.018,0
144,2011-09-08,DEN,24,10,"Denver city, Colorado",635163,39.861698150635,-104.672996521,DEN,1,1103275,3.018,0
145,2011-09-08,JFK,27,18,"New York city, New York",8346693,40.639801,-73.7789,JFK,1,1052075,3.018,0
146,2011-09-08,SFO,18,12,"San Francisco city, California",828876,37.61899948120117,-122.375,SFO,1,1112475,3.018,0
147,2011-09-08,CLT,27,14,"Charlotte city, North Carolina",773264,35.2140007019043,-80.94309997558594,CLT,1,1028075,3.018,0
148,2011-09-08,LAS,39,24,"Las Vegas city, Nevada",593275,36.08010101,-115.1520004,LAS,1,1068475,3.018,0
149,2011-09-08,PHX,43,31,"Phoenix city, Arizona",1499274,33.43429946899414,-112.01200103759766,PHX,1,1060875,3.018,0
150,2011-09-08,IAH,35,16,"Houston city, Texas",2161593,29.984399795532227,-95.34140014648438,IAH,1,1055675,3.018,0
151,2011-09-08,MIA,33,26,"Miami city, Florida",411149,25.79319953918457,-80.29060363769531,MIA,1,1073075,3.018,0
152,2011-09-08,MCO,31,23,"Orlando city, Florida",249935,28.429399490356445,-81.30899810791016,MCO,1,1044075,3.018,0
153,2011-09-08,EWR,27,18,"Newark city, New Jersey",277594,40.692501068115234,-74.168701171875,EWR,1,1064475,3.018,0
154,2011-09-08,SEA,29,14,"Seattle city, Washington",635928,47.449001,-122.308998,SEA,1,1038675,3.018,0
155,2011-09-08,MSP,30,14,"Minneapolis city, Minnesota",392768,44.882,-93.221802,MSP,1,1085275,3.018,0
156,2011-09-08,DTW,19,16,"Detroit city, Michigan",700183,42.212398529052734,-83.35340118408203,DTW,1,1079375,3.018,0
157,2011-09-08,PHL,24,21,"Philadelphia city, Pennsylvania",1551824,39.87189865112305,-75.24109649658203,PHL,1,1031075,3.018,0
158,2011-09-08,BOS,18,14,"Boston city, Massachusetts",642955,42.36429977,-71.00520325,BOS,1,1035875,3.018,0
159,2011-09-08,LGA,24,18,"New York city, New York",8346693,40.777199,-73.872597,LGA,1,1030575,3.018,0
160,2011-09-09,ATL,27,14,"Atlanta city, Georgia",449016,33.6367,-84.428101,ATL,1,2002475,2.962,0
161,2011-09-09,ORD,22,16,"Chicago city, Illinois",2719141,41.9786,-87.9048,ORD,1,1503175,2.962,0
162,2011-09-09,LAX,22,17,"Los Angeles city, California",3851202,33.942501,-118.407997,LAX,1,1335475,2.962,0
163,2011-09-09,DFW,32,18,"Dallas city, Texas",1242115,32.896801,-97.038002,DFW,1,1203175,2.962,0
164,2011-09-09,DEN,26,10,"Denver city, Colorado",635163,39.861698150635,-104.672996521,DEN,1,1103275,2.962,0
165,2011-09-09,JFK,30,19,"New York city, New York",8346693,40.639801,-73.7789,JFK,1,1052075,2.962,0
166,2011-09-09,SFO,20,12,"San Francisco city, California",828876,37.61899948120117,-122.375,SFO,1,1112475,2.962,0
167,2011-09-09,CLT,29,14,"Charlotte city, North Carolina",773264,35.2140007019043,-80.94309997558594,CLT,1,1028075,2.962,0
168,2011-09-09,LAS,38,24,"Las Vegas city, Nevada",593275,36.08010101,-115.1520004,LAS,1,1068475,2.962,0
169,2011-09-09,PHX,38,26,"Phoenix city, Arizona",1499274,33.43429946899414,-112.01200103759766,PHX,1,1060875,2.962,0
170,2011-09-09,IAH,37,17,"Houston city, Texas",2161593,29.984399795532227,-95.34140014648438,IAH,1,1055675,2.962,0
171,2011-09-09,MIA,33,23,"Miami city, Florida",411149,25.79319953918457,-80.29060363769531,MIA,1,1073075,2.962,0
172,2011-09-09,MCO,32,21,"Orlando city, Florida",249935,28.429399490356445,-81.30899810791016,MCO,1,1044075,2.962,0
173,2011-09-09,EWR,31,20,"Newark city, New Jersey",277594,40.692501068115234,-74.168701171875,EWR,1,1064475,2.962,0
174,2011-09-09,SEA,29,13,"Seattle city, Washington",635928,47.449001,-122.308998,SEA,1,1038675,2.962,0
175,2011-09-09,MSP,32,17,"Minneapolis city, Minnesota",392768,44.882,-93.221802,MSP,1,1085275,2.962,0
176,2011-09-09,DTW,24,18,"Detroit city, Michigan",700183,42.212398529052734,-83.35340118408203,DTW,1,1079375,2.962,0
177,2011-09-09,PHL,29,21,"Philadelphia city, Pennsylvania",1551824,39.87189865112305,-75.24109649658203,PHL,1,1031075,2.962,0
178,2011-09-09,BOS,27,14,"Boston city, Massachusetts",642955,42.36429977,-71.00520325,BOS,1,1035875,2.962,0
179,2011-09-09,LGA,30,19,"New York city, New York",8346693,40.777199,-73.872597,LGA,1,1030575,2.962,0
180,2011-09-10,ATL,29,14,"Atlanta city, Georgia",449016,33.6367,-84.428101,ATL,1,2002475,,0
181,2011-09-10,ORD,26,13,"Chicago city, Illinois",2719141,41.9786,-87.9048,ORD,1,1503175,,0
182,2011-09-10,LAX,24,17,"Los Angeles city, California",3851202,33.942501,-118.407997,LAX,1,1335475,,0
183,2011-09-10,DFW,34,16,"Dallas city, Texas",1242115,32.896801,-97.038002,DFW,1,1203175,,0
184,2011-09-10,DEN,26,7,"Denver city, Colorado",635163,39.861698150635,-104.672996521,DEN,1,1103275,,0
185,2011-09-10,JFK,27,20,"New York city, New York",8346693,40.639801,-73.7789,JFK,1,1052075,,0
186,2011-09-10,SFO,23,13,"San Francisco city, California",828876,37.61899948120117,-122.375,SFO,1,1112475,,0
187,2011-09-10,CLT,29,14,"Charlotte city, North Carolina",773264,35.2140007019043,-80.94309997558594,CLT,1,1028075,,0
188,2011-09-10,LAS,31,22,"Las Vegas city, Nevada",593275,36.08010101,-115.1520004,LAS,1,1068475,,0
189,2011-09-10,PHX,38,26,"Phoenix city, Arizona",1499274,33.43429946899414,-112.01200103759766,PHX,1,1060875,,0
190,2011-09-10,IAH,37,21,"Houston city, Texas",2161593,29.984399795532227,-95.34140014648438,IAH,1,1055675,,0
191,2011-09-10,MIA,33,25,"Miami city, Florida",411149,25.79319953918457,-80.29060363769531,MIA,1,1073075,,0
192,2011-09-10,MCO,31,22,"Orlando city, Florida",249935,28.429399490356445,-81.30899810791016,MCO,1,1044075,,0
193,2011-09-10,EWR,27,22,"Newark city, New Jersey",277594,40.692501068115234,-74.168701171875,EWR,1,1064475,,0
194,2011-09-10,SEA,29,13,"Seattle city, Washington",635928,47.449001,-122.308998,SEA,1,1038675,,0
195,2011-09-10,MSP,32,17,"Minneapolis city, Minnesota",392768,44.882,-93.221802,MSP,1,1085275,,0
196,2011-09-10,DTW,24,17,"Detroit city, Michigan",700183,42.212398529052734,-83.35340118408203,DTW,1,1079375,,0
197,2011-09-10,PHL,29,21,"Philadelphia city, Pennsylvania",1551824,39.87189865112305,-75.24109649658203,PHL,1,1031075,,0
198,2011-09-10,BOS,22,15,"Boston city, Massachusetts",642955,42.36429977,-71.00520325,BOS,1,1035875,,0
199,2011-09-10,LGA,26,21,"New York city, New York",8346693,40.777199,-73.872597,LGA,1,1030575,,0
200,2011-09-11,ATL,30,16,"Atlanta city, Georgia",449016,33.6367,-84.428101,ATL,1,2002475,,0
201,2011-09-11,ORD,28,14,"Chicago city, Illinois",2719141,41.9786,-87.9048,ORD,1,1503175,,0
202,2011-09-11,LAX,23,18,"Los Angeles city, California",3851202,33.942501,-118.407997,LAX,1,1335475,,0
203,2011-09-11,DFW,36,18,"Dallas city, Texas",1242115,32.896801,-97.038002,DFW,1,1203175,,0
204,2011-09-11,DEN,29,12,"Denver city, Colorado",635163,39.861698150635,-104.672996521,DEN,1,1103275,,0
205,2011-09-11,JFK,21,17,"New York city, New York",8346693,40.639801,-73.7789,JFK,1,1052075,,0
206,2011-09-11,SFO,23,16,"San Francisco city, California",828876,37.61899948120117,-122.375,SFO,1,1112475,,0
207,2011-09-11,CLT,31,13,"Charlotte city, North Carolina",773264,35.2140007019043,-80.94309997558594,CLT,1,1028075,,0
208,2011-09-11,LAS,32,22,"Las Vegas city, Nevada",593275,36.08010101,-115.1520004,LAS,1,1068475,,0
209,2011-09-11,PHX,37,25,"Phoenix city, Arizona",1499274,33.43429946899414,-112.01200103759766,PHX,1,1060875,,0
210,2011-09-11,IAH,37,20,"Houston city, Texas",2161593,29.984399795532227,-95.34140014648438,IAH,1,1055675,,0
211,2011-09-11,MIA,33,26,"Miami city, Florida",411149,25.79319953918457,-80.29060363769531,MIA,1,1073075,,0
212,2011-09-11,MCO,33,23,"Orlando city, Florida",249935,28.429399490356445,-81.30899810791016,MCO,1,1044075,,0
213,2011-09-11,EWR,22,19,"Newark city, New Jersey",277594,40.692501068115234,-74.168701171875,EWR,1,1064475,,0
214,2011-09-11,SEA,29,15,"Seattle city, Washington",635928,47.449001,-122.308998,SEA,1,1038675,,0
215,2011-09-11,MSP,32,18,"Minneapolis city, Minnesota",392768,44.882,-93.221802,MSP,1,1085275,,0
216,2011-09-11,DTW,26,17,"Detroit city, Michigan",700183,42.212398529052734,-83.35340118408203,DTW,1,1079375,,0
217,2011-09-11,PHL,27,18,"Philadelphia city, Pennsylvania",1551824,39.87189865112305,-75.24109649658203,PHL,1,1031075,,0
218,2011-09-11,BOS,21,13,"Boston city, Massachusetts",642955,42.36429977,-71.00520325,BOS,1,1035875,,0
219,2011-09-11,LGA,23,17,"New York city, New York",8346693,40.777199,-73.872597,LGA,1,1030575,,0
220,2011-09-12,ATL,31,18,"Atlanta city, Georgia",449016,33.6367,-84.428101,ATL,1,2002475,2.938,0
221,2011-09-12,ORD,30,18,"Chicago city, Illinois",2719141,41.9786,-87.9048,ORD,1,1503175,2.938,0
222,2011-09-12,LAX,23,17,"Los Angeles city, California",3851202,33.942501,-118.407997,LAX,1,1335475,2.938,0
223,2011-09-12,DFW,39,21,"Dallas city, Texas",1242115,32.896801,-97.038002,DFW,1,1203175,2.938,0
224,2011-09-12,DEN,29,12,"Denver city, Colorado",635163,39.861698150635,-104.672996521,DEN,1,1103275,2.938,0
225,2011-09-12,JFK,26,19,"New York city, New York",8346693,40.639801,-73.7789,JFK,1,1052075,2.938,0
226,2011-09-12,SFO,21,16,"San Francisco city, California",828876,37.61899948120117,-122.375,SFO,1,1112475,2.938,0
227,2011-09-12,CLT,31,17,"Charlotte city, North Carolina",773264,35.2140007019043,-80.94309997558594,CLT,1,1028075,2.938,0
